dept_names,dept_index
CLOSED LINGUISTICS DEPARTMENT,227
HUMAN GENETICS DEPARTMENT,228
ORAL SURGERY DENTISTRY,229
CLOSED-BIOMATERIALS DENTISTRY,230
OCCLUSION DENTISTRY,231
CLOSED-PRECLINICAL DENTISTRY,232
NAVAL ARCH & MARINE ENGR DEPT,233
UMH N'PSYCH (CLINICAL PGM),234
UNIVERSITY STORES,235
UMH AMBULATORY CARE NURSING,236
MARTHA COOK RESIDENCE HALL,237
UMH HOSP PHARMACY SERVICES,238
UMH AMB CARE - SYSTEM SUPPORT,239
CLOSED-GREAT LAKES RESEARCH DIV,240
CLOSED PLUMBING & HEATING,241
CLOSED AIR COND & VENTILATION SE,242
MERIT NETWORK,243
PHARMACOLOGY DEPARTMENT,244
CLOSED UMH HOUSEKEEPING AMB CARE,245
COMMUNICATION STUDIES,246
TRANSPORTATION SERVICES,247
UNIV LIB-GRADUATE LIB CIRCULATIO,248
CLOSED-DENTAL RESEARCH INST,249
ORAL BIOLOGY-DENTISTRY,250
SHAPIRO UNDERGRADUATE LIBRARY,251
CELL & DEVELOPMENT BIOLOGY DEPT,252
BIOPHYSICS RESEARCH DIVISION,253
CTR RUSSIAN & E EUROPEAN STUDIES,254
OBSTETRICS AND GYNECOLOGY DEPT,255
MUSEUM OF ART,256
KELSEY MUSEUM OF ARCHAEOLOGY,257
UMH ACTIVITY THERAPY,258
ENGINEERING LIBRARY,259
CLOSED UMH PHARMACY DISPEN OUT,260
ORTHODONTICS-DENTISTRY,261
CLOSED CARPENTRY SHOP,262
DBN ADMISSIONS,263
ENGINEERING ADMINISTRATION,264
UNIV LIB FINANCE & FACILITIES,265
COMMUNITY DENTISTRY,266
DEPARTMENT OF SAFETY,267
LIBRARY ADMINISTRATIVE SERVICES,268
FLINT SOCIO/ANTHRO/CRIMINAL JUST,269
BENEFITS OFFICE,270
CLOSED-OFFICE OF STUDENT PRGMS,271
CLOSED FLINT OPERATIONS OFFICE,272
FLINT UCEN OFF BLDG MGT & EVENTS,273
CLOSED FLINT V-CHANCELLOR CAMP S,274
CLOSED-UNIV DEVELOPMENT OFFICE,275
INDUSTRIAL-OPERATIONS ENGR DEPT,276
UMH MEDICINE DIAG & TREATMENT,277
BOTANICAL GARDENS,278
SCH OF PUBLIC HEALTH-DEAN'S OFC,279
UMH EMERGENCY DEPARTMENT,280
SEA GRANT PROGRAM,281
CLOSED-MICH MEDIA-EDUCATION,282
RADIOLOGY-NUCLEAR MEDICINE,283
FLINT PUBLIC TV,284
CLOSED-LAUNDRY DEPARTMENT,285
UMH LIFE SCIENCES ORCHESTRA,286
CLOSED COMMUNITY HEALTH PROGRAMS,287
MOVERS DEPARTMENT,288
FLINT ACCOUNTING,289
CLOSED-TELECOMMUNICATION SYSTEMS,290
FLINT ECONOMICS DEPARTMENT,291
FLINT TEACHING ASSISTANCE OFFICE,292
CLOSED-GEOGRAPHY DEPARTMENT,293
UMH KEC UNIT MGMT SERVICES,294
BUSINESS ADMINISTRATION LIBRARY,295
FACILITIES PLANNING & DESIGN,296
"GEN,TS,INV,GFT,DES,PLT,AUX FUNDS",297
COMPREHENSIVE STUDIES PROGRAM,298
CLOSED TRUCKS & HEAVY EQUIPMENT,299
SOE/TECHNOLOGY SERVICES,300
CLOSED PHILOLOGICAL RESEARCH,301
UMH TC - LIVER PRE,302
INVESTMENT RECONCILIATION,303
HEALTH SCIENCES LIBRARY,304
UMH GSA ENDCORINOLOGY PRO,305
UMH CAPH SCHOOL,306
UMH ASSOC DIRECTOR OF NURSING,307
UMHHC ACCTG/REIMBURSEMENT OFC,308
MAIL SERVICE DEPARTMENT,309
UMH KEC RECOVERY ROOMS,310
CLOSED-PHYSICAL EDUCATION DEPT,311
CLOSED-UNIV PLANNER'S OFFICE,312
MHC KC-PARTNERS INVESTMENT,313
UMH ANESTHESIOLOGY ADMIN,314
FLINT ENGLISH DEPARTMENT,315
UNIVERSITY PRESS,316
CLOSED-MATHEMATICAL REVIEWS,317
PHILOSOPHY DEPARTMENT,318
CLOSED MEDICAL CARE ORGANIZATION,319
ISR SPONSORED,320
UMH INFO & NETWORKING SVCS,321
RECREATIONAL SPORTS DEPT,322
UMH MOTT OPERATING ROOMS,323
FLINT FOREIGN LANGUAGES DEPT,324
HEALTH SERVICE ANCIL MED SVCS,325
UNIV MUSICAL SOCIETY,326
ISR ADMINISTRATION,327
CLOSED NEURO SCI LAB,328
UMH AMBULATORY CARE SOCIAL WORK,329
HOUSING DIVISION-N CAMPUS AREA,330
FLINT OFFICE OF ADMISSIONS,331
DBN OFFICE OF THE REGISTRAR,332
INT MED-ALLERGY,333
SPECIAL COLLECTIONS LIBRARY,334
FLINT AFRICANA STUDIES,335
FLINT ORGANIZED RESEARCH,336
CLOSED - SCHEDULING OFFICE,337
OFFICE OF THE PRESIDENT,338
UNIV LIB-FILM & VIDEO LIBRARY,339
MUSEUM OF PALEONTOLOGY,340
UMH CHILD & ADOL O/P SW,341
UMH MANAGEMENT SYSTEMS,342
UMH GRADUATE MEDICAL EDUCATION,343
HEALTH BEHAVIOR & HEALTH ED DEPT,344
CENTER FOR HUMAN GROWTH & DEVEL,345
PERIODIC HEALTH APPRAISAL UNIT,346
UMHHC AMBULATORY CARE REGISTRATI,347
CLOSED UMH MAT MGMT H ST/PT EQUP,348
EXHIBIT MUSEUM,349
OCCUPATIONAL SAFETY & ENVIRON HL,350
FLINT HOUSEKEEPING SVCS PLANT,351
FLINT ACADEMIC ADVISING,352
MICHIGAN RADIO,353
ALICE LLOYD RESIDENCE HALL,354
CLOSED-INFORMATION SERVICES,355
CLOSED-DBN DIV OF INTER-DISCIP,356
CTR GREAT LAKES & AQUATIC SCS,357
UMH PM&R EMG LABORATORY,358
LS&A COMMUNICATIONS & MARKETING,359
THORACIC SURGERY SECTION,360
UMH PSYCH HOSPITAL ADMIN DEPT,361
CENTER FOR CHINESE STUDIES,362
CLOSED-DEPT OF THEATRE & DRAMA,363
UMH CARDIOLOGY OFFICE TECH,364
CLOSED COMM DISORDERS CLINIC,365
HISTORY OF ART DEPARTMENT,366
MICH DIABETES RESEARCH TRAIN CTR,367
CLOSED SHEET METAL & MACH SHOP,368
MOSHER JORDAN RESIDENCE HALL,369
UMH MOTT RADIOLOGY SERVICES,370
INT MED-ENDOCR & METABOL,371
FLINT COL OF ARTS AND SCIENCE,372
MEDICAL MGMT CENTER-DISEASE MGMT,373
INST OF LABOR & INDUSTRIAL REL,374
CLOSED-COMP DENTURE-DENTISTRY,375
CENTER FOR POPULATION PLANNING,376
CLOSED SPEECH & HEARING SCIENCE,377
AIR FORCE OFFICER EDUCATION PGRM,378
ALUMNI RECORDS OFFICE,379
UMH METABOLIC SCREENING,380
UMH ACS EXTENDED LEAVE PROGRAM,381
SCHOOL OF INFORMATION,382
DBN CAMPUS SAFETY,383
UMH NURSING BUSINESS OFFFICE ADM,384
MICROBIOLOGY AND IMMUNOLOGY,385
UMHHC SR ASSOC DIRECTOR & CFO,386
INT MED-RHEUMATOLOGY,387
"STUDENT LOAN,STUDENT FIN CASHIER",388
DBN CASL-BEHAVIORAL SCIENCES,389
PIERPONT COMMONS,390
UMH PM&R ORTHOTICS/PROSTHETICS,391
SACUA,392
OFFICE OF BUDGET & PLANNING,393
LANGUAGE RESOURCE CENTER,394
FLINT THEATRE AND DANCE,395
CTR FOR RES ON LEARN & TEACH,396
OFFICE OF VP STUDENT AFFAIRS,397
GRADUATE LIBRARY,398
FLINT EDUCATION DEPARTMENT,399
UNIV LIB MONOGRAPHS & CATALOGING,400
FLINT CHEMISTRY DEPARTMENT,401
COUNSELING & PSYCHOLOGICAL SERV,402
WEST QUADRANGLE RESIDENCE HALL,403
CLOSED FLINT OFFIVE OF DEVELOP,404
BENTLEY HISTORICAL LIBRARY,405
FLINT MUSIC DEPARTMENT,406
UMH UH OCCUPATIONAL THERAPY,407
OFFICE OF ASSOC VP FOR FINANCE,408
TREASURER'S OFFICE,409
WOMEN'S STUDIES PROGRAM,410
BARBOUR-NEWBERRY RESIDENCE HALLS,411
CLOSED-ENGINEERING CONFERENCES,412
UMH H.O. OPHTHALMOLOGY,413
UMH ASST DIR-REIMBURSEMENT,414
INT MED-HYPERTENSION,415
DBN COL OF ENG-ELECTRIC & COMP,416
CLOSED UMH ARCHITECTURAL SERVICE,417
CLEMENTS LIBRARY,418
HOSPITAL DENTISTRY,419
CLOSED UMH HOUSEKPNG NON-HOSP,420
CLOSED PREVENTIVE MAINENTANCE DP,421
CLOSED MAINT & CONSTRUCT DEPT,422
UMH H.O. DENTISTRY,423
CLOSED-DBN CONSTRUCTION ADMIN,424
CLOSED-MICH-MEDIA BROADCASTING,425
CLOSED DENTAL BLDG CUSTODIAL DEP,426
UNIV PARKING SVCS-CENTRAL CAMPUS,427
FLINT SOM BUSINESS ECONOMICS,428
CLOSED ROOFERS,429
MUSEUM OF ANTHROPOLOGY,430
DIVISION OF BUS ADMIN RESEARCH,431
CLOSED UMH BLDG MAINT/ALTER,432
FLINT POLITICAL SCIENCE,433
CLOSED UMH HOUSEKEEP MOTT/WMNS/H,434
OPERATIVE DENTISTRY,435
UMHS PR&MC/INTERACTIVE MARKETING,436
CTR FOR SOUTHEAST ASIAN STUDIES,437
BIOLOGICAL STATION,438
RESEARCH CTR FOR GROUP DYNAMICS,439
GIFT ADMIN DEVELOPMENT OFFICE,440
STUDIES IN RELIGION,441
OFF EXEC VP & CHIEF FIN OFFICER,442
CLOSED-EXTEN CREDIT FREE PROGRMS,443
ORAL DIAGNOSIS-DENTISTRY,444
FLINT LIBRARY,445
UMH EMERGENCY SERVICES NURSING,446
ASIAN LANGUAGES AND CULTURES,447
DBN OFFICE OF STUDENT AFFAIRS,448
UMH KELLOGG OPERATING ROOMS,449
SLAVIC LANGUAGES & LIT DEPT,450
UMH SOCIAL WORK OFFICE,451
CLOSED PLANT SERVICE UNIT,452
CLOSED BONE MARROW TRANSPLANT I/,453
MARKETING COMMUNICATIONS,454
UMH PSYCH HOSPITAL OPERATIONS,455
MBA EVENING PROGRAM,456
LS&A STUDENT ACADEMIC AFFAIRS,457
UNIVERSITY CLUB,458
CLOSED UPHOLSTERY SHOP,459
PERIODONTICS-DENTISTRY,460
FLINT PURCHASING OFFICE,461
UNIV LIB ACQUISITIONS & SERIALS,462
CLOSED-PHARMACY,463
GENERAL SURGERY SECTION,464
CLOSED OPPORTUNITY PROGRAM,465
DBN FINANCIAL AID OFFICE,466
OFFICE OF THE PLANT DIRECTOR,467
INT MED-CARDIOLOGY,468
BIOSTATISTICS DEPARTMENT,469
CLASSICAL STUDIES DEPARTMENT,470
UMH CHAIRMAN OF PYCHIATRY OFFICE,471
CLOSED CONST LABOR DEPARTMENT,472
DBN COLLEGE OF ENG & COMP SCI,473
UMH PHOTO CHEMOTHERAPY,474
CLOSED-UMH PROF SVCS ADMIN OFF,475
UMH SOCIAL WORK-EMERGENCY DEPT,476
THEATRE AND DRAMA,477
CLOSED-UMH TURNER ADMINISTRAT,478
UMH PSYCH HOSP PATIENT BUS OFF,479
RISK MANAGEMENT,480
UMH PYCH HOSP YOUTH SERVICES OFF,481
OFFICE OF THE GENERAL COUNSEL,482
INT MED-GASTROENTEROLOGY,483
UMHHC PSYCHIATRY M-CDR,484
CLOSED-ST & COMM REL OFFICE,485
ADMINISTRATION-DENTISTRY,486
ARMY OFFICER EDUCATION PROGRAM,487
UMH PED GASTROENTEROLOGY,488
VERA BAITS II RESIDENCE HALLS,489
CLOSED GI ONCOLOGY PROF,490
COMPARATIVE LITERATURE PROGRAM,491
UMHS PUBLIC RELATIONS & MKTG COM,492
UNIV ARCHITECT/PLANNER OFFICE,493
UMH BUDGET/RATE SETTING,494
CLOSED PHOTOGRAPHIC SVCS DEPT,495
CLOSED-AUXILIARY UNIT-DENTISTRY,496
INT MED-BIO CHEM LAB,497
UMH MEDICAL STAFF SERVICES,498
MEDICAL CENTER DEVELOPMENT OFC,499
HEALTH SERVICE REVENUE,500
CLOSED-INST OF SCIENCE & TECHNOL,501
CLOSED MASON TRADES,502
UNIV LIB-SPATIAL/NUMERIC DATA SV,503
FLINT SAFETY OFFICE,504
PEDIATRIC DENTISTRY,505
RADRICK FARMS,506
DBN SCHOOL OF EDUCATION,507
ENERGY MANAGEMENT OFFICE,508
FINANCIAL REPORTS,509
CLOSED FLINT UCEN-STUDENT ACTIV,510
PATIENT SERVICES DENTISTRY,511
NAVY OFFICER EDUCATION PROGRAM,512
UMH UROLOGY CLINIC,513
UMH HOUSEKEEPING DAY,514
DBN MARDIGIAN LIBRARY,515
PEDIATRIC SURGERY SECTION,516
ENDODONTICS-DENTISTRY,517
INT MED-NEPHROLOGY,518
CLOSED UNIVERSITY CAMPS,519
CLOSED-CAPITAL PLANNING OFFICE,520
ORAL PATHOLOGY-DENTISTRY,521
FLINT PHILOSOPHY DEPARTMENT,522
LIBRARY ADMINISTRATION,523
UNIV LIB-FACULTY EXPLORATORY,524
CLOSED-INDUSTRIAL DEVELOP DIV,525
FLINT URBAN HEALTH & WELLNESS CT,526
UMH H.O. CORE OB/GYN,527
UNIV LIB-FINE ARTS LIBRARY,528
FLINT NURSING PROGRAM,529
UMH PATIENT/STAFF RELATIONS,530
UMH OSA TRAUMA PRO,531
UMH ROCK N ROLL,532
PROPERTY DISPOSITION OFFICE,533
EDUC RESOURCES-DENTISTRY,534
FLINT FINANCIAL AID OFFICE,535
INT MED-PRIMARY CARE,536
INT MED-PULMONARY/CRITICAL CARE,537
CLOSED FLINT SPECIAL PROJECTS,538
UROLOGY SURGERY SECTION,539
GRADUATE SCHOOL,540
UMHHC COMMUNITY HEALTH SERVICES,541
UMH CHIEF OF CLINIC AFFAIRS OFC,542
UNIV LIB-HUMAN RESOURCES,543
CLOSED-PARTIAL DENTURE-DENT,544
FLETCHER RESIDENCE HALL,545
CLOSED-DBN SPECIAL PROJECTS,546
UNIVERSITY LIBRARY,547
CLOSED-RADIATION CONTROL SERVICE,548
CLOSED HEALTH MAINT ORG OFFICE,549
FLINT OFFICE OF HUMAN RESOURCES,550
DBN HUMAN RES & AFFIRM ACTION,551
CLOSED KEY OFFICE,552
UMH SURGERY ADMINISTRATION,553
AMERICAN CULTURE PROGRAM,554
UNIV LIB-DIGITAL LIB PRODUCTION,555
FLINT PSYCHOLOGY DEPARTMENT,556
UNIV LIB-GRAD LIB AREA PROGRAMS,557
STATISTICS DEPARTMENT,558
CTR STATISTICAL CONSUL & RES,559
OFFICE OF VP FOR RESEARCH,560
PLANT EXTENSION OFFICE,561
FLINT SOM MANAGEMENT,562
UMH FACILITIES SERVICES,563
HEALTH SERVICE CLINIC SERVICES,564
FLINT STUDENT DEVELOPMENT,565
FLINT THEATRE PRODUCTIONS,566
CLOSED UMH PASTORAL CARE/EDUCATI,567
FLINT CHANCELLOR'S OFFICE,568
CENTER FOR WEST EUROPEAN STUDIES,569
CLOSED-ASSOC VP ACAD PLAN&ANAL,570
FIN ANALYSIS/COST REIMBURSEMENT,571
CLOSED-CONTRACT ADMIN OFFICE,572
DBN INFORMATION SUPPORT SERVICES,573
FLINT EARTH & RESOURCES SCIENCES,574
CLOSED-MOTT/WOMEN/HOLDEN ADM OFF,575
NICHOLS ARBORETUM,576
UMH KEC BUSINESS OFFICE,577
CLOSED-ADMINISTRATIVE USER SVC,578
"COLLEGE OF LIT, SCIENCE & ARTS",579
UMH GENERAL SURGEY,580
UMH THORACIC SURGERY CLINIC,581
UNIV LIB PHOTDUPLICATION SERVICE,582
FLINT HISTORY DEPARTMENT,583
AFFIRMATIVE ACTION OFFICE,584
UMH BRIGHTON PRIMARY CARE,585
UMH H.O. DERMATOLOGY,586
UMH TC - PANCREAS POST,587
MACROMOLECULAR SCI & ENGR CTR,588
CLOSED UMH SOCIAL WORK M/W/H,589
DBN DEVELOPMENT OFFICE,590
FLINT SOM GRAD AD/DEV,591
DBN UNIVERSITY RELATIONS,592
ASSOC V-P FACILITIES & OPERATION,593
INT MED-INFECTIOUS DIS,594
OFFICE OF VP FOR DEVELOPMENT,595
UMH EMPLOYEE HEALTH SERVICE,596
UNIV LIB PRESERVATION,597
DBN FACILITIES PLANNING,598
UMH MEDICAL CAMPUS HUMAN RES DPT,599
ASIA LIBRARY,600
CLOSED DBN CASHIER'S OFFICE,601
UNIVERSITY AUDITS OFFICE,602
CLOSED-MAIN HOSP BLDG SVCS DEPT,603
DBN OFFICE OF THE CHANCELLOR,604
FLINT LEARNING RESOURCES,605
CLOSED SHADY TRAILS CAMP,606
HEALTH SERVICE FINANCE DIVISION,607
CLOSED-DBN GRAD BOARD,608
UMH PASTORAL CARE,609
MICHIGAN UNION,610
DENTAL HYGIENE-DENTISTRY,611
PROGRAM IN FILM AND VIDEO,612
ART/ARCHITECTURE LIBRARY,613
UNIV LIB-SCHOLARLY PUBLISHING OF,614
CLOSED UMH PAT COMM RELATION MWH,615
CLOSED-UMH HOLDEN UNIT MGMT SVC,616
CLOSED UMH BREAST ONCOLOGY,617
CLOSED-FLINT STUDT ACADEMIC SVCS,618
CLOSED FLINT CAMPUS PLANNING,619
UMH PM&R REHAB-PSYCH/SOCIAL WORK,620
CLOSED-PRIMARY CARE/COMM MED,621
INT MED-VET MEML HOSP,622
UMH CHILD CARE CENTER,623
CLOSED-ADMIN SERV-DENTISTRY,624
OFFICE OF NEW STUDENT PROGRAMS,625
UMH PEDIATRIC SURGERY CLINIC,626
INSTITUTE FOR SOCIAL RESEARCH,627
UNIV LIB-GRADUATE LIB STACKS,628
CLOSED UMH HOUSEKPNG TERRACES,629
CLOSED OFFICE OF ENERGY RESEARCH,630
DBN INSTITUTIONAL RESEARCH,631
DBN COLLEGE OF ENG - IDP,632
UMH NEURO-SURGERY CLINIC,633
CLOSED-DBN URBAN STUDIES DEPT,634
DBN STUDENT LIFE,635
DBN RESEARCH ADMINISTRATION,636
UNIV LIB-GRADUATE LIBRARY SERIAL,637
UMH PEDIATRICS - GENERAL ADMIN,638
CLOSED SCIENTIFIC SERVICE UNIT,639
UPJOHN CENTER,640
UMH H.O. CORE OTOLARYNGOLOGY,641
CLOSED INGLIS HOUSE,642
